Item,Unidad de negocio,Descripción Item,Fecha,UM,Tipo de Ítem,Grupo Inventario,Entradas Últ. 12 Meses,Salidas Últ. 12 Meses,Entradas Últ. 24 Meses,Salidas Últ. 24 Meses,"Entradas entre
12 y 24 Meses","Salidas entre
12 y 24 Meses",Entrada 12 meses y saldo,% entrada 12 meses / Saldo,Saldo,Valor STD (COP$),Valor Real (COP$),Cant. Backlog,Valor Backlog (R$),"Backlog ajustado cant.
(de acuerdo a inventario existente","Backlog ajustado valor
(de acuerdo a inventario existente",Cantidad en contratos,Inventario cubierto por contratos COP$,Total inventario no comprometido después de backlog,Total inventario no comprometido después de backlog y contratos,Agotamiento,Cant. Comprometida,Nuevo agotamiento,%,Categoría Provisión de Inventario,Valor Provisión
00030086,PR,Producto 00030086,2026-04-30,KG,Materia Prima,MATERIA PRIMA,5146.0,0.0,12256.0,1389.0,7110.0,1389.0,,0.45774773172033445,11242,167894329.0286,167894329.0286,0,0.0,0.0,0.0,,0,167894329.0286,167894329.0286,0.0,1656.082,999.9,0.0,C,83947164.5143
00030102,PR,Producto 00030102,2026-04-30,KG,Materia Prima,MATERIA PRIMA,9074.0,2295.394,9074.0,10743.704,0.0,8448.31,-966.0,1.119141588554514,8108,119330971.4127,119330971.4127,0,0.0,0.0,0.0,,0,119330971.4127,119330971.4127,42.4,6.4997,30.387494260244647,0.28310236803157374,Regular,0.0
00030121,PR,Producto 00030121,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,6536.8,23912.0,16047.512,23912.0,9510.712,,0.0,29025.2,438873014.6004,438873014.6004,0,0.0,0.0,0.0,,0,438873014.6004,438873014.6004,52.7,296.24,41.28331905519521,0.22521119578848725,B,131661904.38011998
00030136,PR,Producto 00030136,2026-04-30,KG,Materia Prima,MATERIA PRIMA,9686.0,2062.0,21924.0,4158.518,12238.0,2096.518,,0.5267565803785077,18388,260903353.0207,260903353.0207,0,0.0,0.0,0.0,,0,260903353.0207,260903353.0207,94.0,2237.45,95.01066925315227,0.11213835109854253,Regular,0.0
00030146,PR,Producto 00030146,2026-04-30,KG,Materia Prima,MATERIA PRIMA,4028.0,311.0,7016.0,2191.6,2988.0,1880.6,,0.4744405182567727,8490,120328307.4648,120328307.4648,0,0.0,0.0,0.0,,0,120328307.4648,120328307.4648,327.6,0.0,315.588424437299,0.036631330977620724,B,36098492.23944
00030146-PLPBR,PR,Producto 00030146-PLPBR,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,565.0,0.0,2387.0,0.0,1822.0,443.0,0.0,443,13250079.5733,13250079.5733,0,0.0,0.0,0.0,,0,13250079.5733,13250079.5733,5.6,178.425,0.0,1.275395033860045,Regular,0.0
00030167,PR,Producto 00030167,2026-04-30,KG,Materia Prima,MATERIA PRIMA,7110.0,3725.305,11088.0,12868.805,3978.0,9143.5,,0.7590477207216825,9367,133733061.0316,133733061.0316,0,0.0,0.0,0.0,,0,133733061.0316,133733061.0316,26.4,1183.005,18.173099920677636,0.3977052418063415,Regular,0.0
00030182,PR,Producto 00030182,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,3901.7,0.0,3901.7,0.0,0.0,205.0,0.0,205,3170315.5393,3170315.5393,0,0.0,0.0,0.0,,0,3170315.5393,3170315.5393,0.6,0.0,0.0,19.032682926829267,Regular,0.0
00030204,PR,Producto 00030204,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,1275.0,0.0,1275.0,0.0,0.0,1219.0,0.0,1219,22392890.8633,22392890.8633,0,0.0,0.0,0.0,,0,22392890.8633,22392890.8633,11.5,0.0,0.0,1.0459392945036916,Regular,0.0
003081,PR,Producto 003081,2026-04-30,KG,Materia Prima,MATERIA PRIMA,985.0,0.0,985.0,0.0,0.0,0.0,0.0,1.0,985,11918500.0,11918500.0,0,0.0,0.0,0.0,,0,11918500.0,11918500.0,0.0,0.0,999.9,0.0,Regular,0.0
003091,PR,Producto 003091,2026-04-30,KG,Materia Prima,MATERIA PRIMA,966.0,1193.4,2499.0,1376.4,1533.0,183.0,,0.8605024051309461,1122.6,13805673.8653,13805673.8653,0,0.0,0.0,0.0,,0,13805673.8653,13805673.8653,9.9,133.625,0.0,1.0630678781400322,Regular,0.0
003114,PR,Producto 003114,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,1383.0,1961.0,1706.0,1961.0,323.0,,0.0,265,2017375.994,2017375.994,0,0.0,0.0,0.0,,0,2017375.994,2017375.994,2.3,0.0,0.0,5.218867924528302,Regular,0.0
003128,PR,Producto 003128,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,1614.0,3165.0,3276.31,3165.0,1662.31,,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,0.0
003144,PR,Producto 003144,2026-04-30,KG,Materia Prima,MATERIA PRIMA,2985.0,0.0,3949.0,0.0,964.0,0.0,,0.7558875664725246,3949,35973955.0124,35973955.0124,0,0.0,0.0,0.0,,0,35973955.0124,35973955.0124,0.0,0.0,999.9,0.0,Regular,0.0
003162,PR,Producto 003162,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,0.0,0.0,280.2,0.0,280.2,442.0,0.0,442,3572588.76,3572588.76,0,0.0,0.0,0.0,,0,3572588.76,3572588.76,999.9,0.0,999.9,0.0,C,1786294.38
015070,PR,Producto 015070,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,0.0,0.0,0.0,0.0,0.0,2240.0,0.0,2240,23850371.7088,23850371.7088,0,0.0,0.0,0.0,,0,23850371.7088,23850371.7088,999.9,19.95,999.9,0.0,D,23850371.7088
015081,PR,Producto 015081,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,2239.3,0.0,2244.3,0.0,5.0,7527.43,0.0,7527.43,67529194.188,67529194.188,0,0.0,0.0,0.0,,0,67529194.188,67529194.188,40.3,0.0,28.338123520743085,0.2974853303185815,B,20258758.256399997
015081-COL-B-M,PR,Producto 015081-COL-B-M,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,170.0,0.0,170.0,0.0,0.0,0.0,9.99,0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,Muestra,0.0
015086,PR,Producto 015086,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,7841.0,10540.0,18294.08,10540.0,10453.080000000002,,0.0,2312,26635566.0014,26635566.0014,0,0.0,0.0,0.0,,0,26635566.0014,26635566.0014,0.0,2312.0,0.0,3.3914359861591694,Regular,0.0
015091,PR,Producto 015091,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,1162.0,10774.0,17517.7,10774.0,16355.7,,0.0,11356,131340429.7664,131340429.7664,0,0.0,0.0,0.0,,0,131340429.7664,131340429.7664,111.6,549.146,105.2736660929432,0.10232476224022546,B,39402128.929919995
015100-PLPBR,PR,Producto 015100-PLPBR,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,11262.0,0.0,12376.0,0.0,1114.0,5831.0,0.0,5831,99515796.1526,99515796.1526,0,0.0,0.0,0.0,,0,99515796.1526,99515796.1526,5.2,917.472,0.0,1.931401131881324,Regular,0.0
015128,PR,Producto 015128,2026-04-30,KG,Materia Prima,MATERIA PRIMA,8059.0,9911.0,8059.0,15482.6,0.0,5571.6,-6660.0,5.760543245175125,1399,16088500.0,16088500.0,0,0.0,0.0,0.0,,0,16088500.0,16088500.0,0.0,1399.0,0.0,7.0843459614010005,Regular,0.0
015144,PR,Producto 015144,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,677.0,2545.0,3259.0,2545.0,2582.0,,0.0,1868,21482000.0,21482000.0,0,0.0,0.0,0.0,,0,21482000.0,21482000.0,33.1,0.0,21.110782865583456,0.3624197002141327,B,6444600.0
015162,PR,Producto 015162,2026-04-30,KG,Materia Prima,MATERIA PRIMA,0.0,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,1840,17082534.4608,17082534.4608,0,0.0,0.0,0.0,,0,17082534.4608,17082534.4608,999.9,1840.0,999.9,0.0,D,17082534.4608
